Team,Owner,Sale Year,Sales Price,Adj. for Inflation,Current Value
Arizona Cardinals,William Bidwill,1932,"$50,000.00 ","$847,000,000.00 ","$961,000,000.00 "
Atlanta Falcons,Arthur Blank,2002,"$545,000,000.00 ","$708,712,613.78 ","$933,000,000.00 "
Baltimore Ravens,Stephen Bisciotti,2004,"$600,000,000.00 ","$742,574,257.43 ","$1,227,000,000.00 "
Buffalo Bills,Ralph Wilson Trust,1959,"$25,000.00 ","$201,612.90 ","$870,000,000.00 "
Carolina Panthers,Jerry Richardson,1993,"$206,000,000.00 ","$333,333,333.33 ","$1,057,000,000.00 "
Chicago Bears,McCaskey Family,1920,$100.00 ,"$1,162.79 ","$1,252,000,000.00 "
Cincinnati Bengals,Michael Brown,1967,"$8,000,000.00 ","$55,944,055.94 ","$924,000,000.00 "
Cleveland Browns,Jimmy Haslam,2012,"$1,000,000,000.00 ","$1,018,329,938.90 ","$1,005,000,000.00 "
Dallas Cowboys,Jerry Jones,1989,"$150,000,000.00 ","$283,018,867.92 ","$2,300,000,000.00 "
Denver Broncos,Patrick Bowlen,1984,"$78,000,000.00 ","$175,000,000.00 ","$1,161,000,000.00 "
Detroit Lions,William Clay Ford,1964,"$4,000,000.00 ","$30,075,187.97 ","$900,000,000.00 "
Green Bay Packers,"Green Bay Packers, Inc.",1919,$50.00 ,$675.68 ,"$1,183,000,000.00 "
Houston Texans,Robert McNair,1999,"$700,000,000.00 ","$981,767,180.93 ","$1,450,000,000.00 "
Indianapolis Colts,James Irsay,1972,"$15,000,000.00 ","$83,798,882.68 ","$1,200,000,000.00 "
Jacksonville Jaguars,Shahid Khan,2012,"$770,000,000.00 ","$784,114,052.95 ","$840,000,000.00 "
Kansas City Chiefs,Lamar Hunt Family,1960,"$25,000.00 ",$196.850.39,"$1,009,000,000.00 "
Miami Dolphins,Stephen Ross,2008,"$1,100,000,000.00 ","$1,194,353,963.08 ","$1,074,000,000.00 "
Minnesota Vikings,Zygmunt Wilf,2005,"$600,000,000.00 ","$718,562,874.25 ","$1,007,000,000.00 "
New England Patriots,Robert Kraft,1994,"$172,000,000.00 ","$271,293,375.39 ","$1,800,000,000.00 "
New Orleans Saints,Tom Benson,1985,"$70,000,000.00 ","$152,173,913.04 ","$1,004,000,000.00 "
New York Giants,John Mara/Steve Tisch,1929,$500.00 ,"$6,849.32 ","$1,550,000,000.00 "
New York Jets,Robert Wood Johnson IV,2000,"$635,000,000.00 ","$861,601,085.48 ","$1,380,000,000.00 "
Oakland Raiders,Mark Davis,1966,"$25,000.00 ","$179,856.12 ","$825,000,000.00 "
Philadelphia Eagles,Jeffrey Lurie,1994,"$185,000,000.00 ","$291,798,107.26 ","$1,314,000,000.00 "
Pittsburgh Steelers,Rooney Family,1933,"$2,500.00 ","$44,642.86 ","$1,118,000,000.00 "
San Diego Chargers,Spanos Family,1984,"$70,000,000.00 ","$157,657,657.66 ","$949,000,000.00 "
San Francisco 49ers,Jed York,1977,"$13,000,000.00 ","$50,193,050.19 ","$1,224,000,000.00 "
Seattle Seahawks,Paul Allen,1997,"$194,000,000.00 ","$282,798,833.82 ","$1,081,000,000.00 "
St. Louis Rams,Stanley Kroenke,2010,"$750,000,000.00 ","$803,858,520.20 ","$875,000,000.00 "
Tampa Bay Buccaneers,Glazer Family,1995,"$192,000,000.00 ","$294,478,527.61 ","$1,067,000,000.00 "
Tennessee Titans,Kenneth Adams Jr,1959,"$25,000.00 ","$201,612.90 ","$1,055,000,000.00 "
Washington Redskins,Daniel Snyder,1999,"$750,000,000.00 ","$1,051,893,408.13 ","$1,700,000,000.00 "
